shapeid,x,y
0,-70.98885352,42.39470549
0,-70.98725031,42.39198988
0,-70.98716716,42.39164853
0,-70.9872541,42.39133526
0,-70.98756357,42.39065144
0,-70.98778803,42.39026937
0,-70.98794268,42.38941198
0,-70.98689125,42.38787747
0,-70.98676655,42.38768977
0,-70.98664343,42.38730697
0,-70.98666616,42.38719758
0,-70.9867088,42.38714344
0,-70.9867713,42.38710448
0,-70.98714951,42.38716132
0,-70.98783184,42.38723735
0,-70.98826235,42.38746565
0,-70.98892065,42.387538
0,-70.98934936,42.3875764
0,-70.98994128,42.38752744
0,-70.99084066,42.38717332
0,-70.99142571,42.38673493
0,-70.9916287,42.38648722
0,-70.99173372,42.38640838
0,-70.99211367,42.38638673
0,-70.99259671,42.38638886
0,-70.99324933,42.38643098
0,-70.99375656,42.38627735
0,-70.99417898,42.3860369
0,-70.9947201,42.385533
0,-70.99469544,42.38412709
0,-70.99463793,42.38380506
0,-70.99467264,42.38369041
0,-70.99477187,42.38359453
0,-70.99463618,42.38283382
0,-70.9946725,42.38264326
0,-70.99484224,42.38201314
0,-70.99552024,42.38151367
0,-70.99564666,42.38148761
0,-70.99626973,42.38142256
0,-70.99672813,42.38121327
0,-70.99689913,42.38116682
0,-70.99703767,42.38115234
0,-70.99724773,42.38117383
0,-70.99869641,42.38168699
0,-70.99891498,42.38189567
0,-70.99957131,42.38216498
0,-71.00069601,42.38279167
0,-71.00119929,42.38304959
0,-71.00200598,42.38341973
0,-71.00249584,42.38360843
0,-71.00314927,42.38382776
0,-71.00393072,42.38395791
0,-71.00429101,42.3839869
0,-71.00457937,42.38398458
0,-71.0046163,42.38371307
0,-71.00478205,42.38372092
0,-71.00475463,42.38386679
0,-71.0051367,42.38390328
0,-71.00514351,42.38393185
0,-71.00523481,42.38394816
0,-71.00528481,42.383992
0,-71.00543798,42.38409529
0,-71.00602728,42.38418508
0,-71.00643299,42.38427601
0,-71.00758143,42.38448125
0,-71.00842353,42.38452601
0,-71.00895217,42.38442125
0,-71.0092634,42.38409548
0,-71.00961536,42.38395813
0,-71.01007702,42.38365989
0,-71.01059568,42.38292971
0,-71.01067184,42.38270282
0,-71.01086043,42.38195942
0,-71.01088577,42.38145874
0,-71.0109195,42.3810223
0,-71.01094653,42.38078203
0,-71.01109124,42.38054391
0,-71.01123378,42.38043652
0,-71.01144948,42.38035636
0,-71.01153979,42.38035675
0,-71.01181309,42.38043364
0,-71.01207174,42.38058457
0,-71.01232321,42.38085291
0,-71.01250738,42.38088033
0,-71.01298896,42.38086561
0,-71.01324503,42.38082471
0,-71.01342097,42.38061608
0,-71.01339693,42.38046889
0,-71.01324856,42.37993372
0,-71.01321203,42.37982298
0,-71.01321788,42.37968854
0,-71.01326554,42.3795551
0,-71.01347815,42.37943746
0,-71.01384437,42.37946315
0,-71.01440045,42.37934422
0,-71.01509791,42.37912983
0,-71.01521529,42.37922032
0,-71.01517798,42.37935545
0,-71.01585065,42.38034835
0,-71.01625437,42.38035883
0,-71.01654721,42.38025222
0,-71.01941246,42.37769988
0,-71.01946812,42.3776326
0,-71.01954644,42.37760165
0,-71.01961381,42.37745402
0,-71.01885578,42.37663476
0,-71.01738753,42.37596564
0,-71.01704024,42.37578966
0,-71.01630676,42.37554236
0,-71.01571848,42.37518178
0,-71.01567085,42.37511901
0,-71.01568112,42.37503371
0,-71.01572708,42.37497601
0,-71.01576471,42.37479862
0,-71.01581086,42.37471704
0,-71.01603486,42.37415661
0,-71.01311362,42.3719827
0,-71.0127689,42.37195791
0,-71.0121374,42.3717379
0,-71.012015,42.37158234
0,-71.01189849,42.37157389
0,-71.01156296,42.37174973
0,-71.01139924,42.37181682
0,-71.0111238,42.37197508
0,-71.01084884,42.37211825
0,-71.01022113,42.37270313
0,-71.01013584,42.37310419
0,-71.0104608,42.37333909
0,-71.01049881,42.37340154
0,-71.01045939,42.37352184
0,-71.01035368,42.37369592
0,-71.0096037,42.37429313
0,-71.00927529,42.37464572
0,-71.00901906,42.3748529
0,-71.00886708,42.37507507
0,-71.00906565,42.37552595
0,-71.00896757,42.37562267
0,-71.00874917,42.37572327
0,-71.00851446,42.37577935
0,-71.00706473,42.37844781
0,-71.00655682,42.37884297
0,-71.00634035,42.37888485
0,-71.00611799,42.37887512
0,-71.0059937,42.37896102
0,-71.00575138,42.37904203
0,-71.00560609,42.37921044
0,-71.00516828,42.37925246
0,-71.00491404,42.37915505
0,-71.00418436,42.37903693
0,-71.00338267,42.37861637
0,-71.00048137,42.37776151
